timestamp,repo,smell_type,smell_id,run_type,iters,elapsed_sec,avg_cpu_percent,peak_memory_mb
2025-07-24_07-00-22,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-00-23,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-01-55,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-01-55,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-01-55,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-01-55,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-01-55,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-01-55,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-01-55,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-01-55,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-01-55,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-01-56,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-01-56,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-01-56,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-01-56,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-01-56,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-06-51,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-06-51,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-06-51,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-06-51,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-06-51,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-06-51,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-06-51,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-06-52,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-06-52,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-06-52,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-06-52,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-06-52,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-07-53,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-07-54,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-07-54,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-07-54,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-07-54,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-07-54,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-07-54,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-07-54,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-07-54,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-07-54,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-07-55,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-07-55,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-09-05,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-09-05,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-09-05,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-09-05,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-09-05,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-09-06,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-09-06,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-09-06,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-09-06,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-09-06,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_07-09-06,gpiozero,long-lambda-expr,e04be5d7,original,30,0.11,0.0,15.6
2025-07-24_08-56-01,gpiozero,long-lambda-expr,e04be5d7,original,30,57.72,0.0,15.6
2025-07-24_08-56-59,gpiozero,long-lambda-expr,e04be5d7,original,30,57.66,0.0,15.6
2025-07-24_08-57-57,gpiozero,long-lambda-expr,e04be5d7,original,30,57.70,10.0,15.6
